Method,Dataset,Checkpoint_Standard,L2_1s,L2_2s,L2_3s,L2_Avg,ObjCol_1s,ObjCol_2s,ObjCol_3s,ObjCol_Avg,ObjCol_Avg_pct,BoxCol_1s,BoxCol_2s,BoxCol_3s,BoxCol_Avg,BoxCol_Avg_pct,EMA_Status,Source,Comment
原始SSR (Baseline-0),nuScenes,epoch_12_ema,0.172271,0.327192,0.562573,0.354012,0.000000,0.000000,0.000055,0.000018,0.001833,0.000665,0.000748,0.001329,0.000914,0.091400,已确认EMA,work_dirs/SSR_e2e_full_2gpu_lr5e-5/metrics_epoch12_ema.txt,文件名直接标记ema
原始SSR (Baseline-0),fog3,epoch_12_ema,0.173513,0.330089,0.567823,0.357142,0.000000,0.000000,0.000055,0.000018,0.001833,0.000581,0.000831,0.001412,0.000941,0.094133,已确认EMA,work_dirs/SSR_e2e_full_2gpu_lr5e-5/eval_fog3_ep12ema_4gpu/results.pkl (compute_plan_metrics重算),已补齐EMA（2026-03-06）
Baseline-1 (无risk 有MLP),nuScenes,epoch_12_ema,0.145423,0.281028,0.490646,0.305699,0.000000,0.000000,0.000028,0.000009,0.000933,0.004070,0.004735,0.006120,0.004975,0.497500,已确认EMA,work_dirs/ssr_refiner_only_g123_12ep/eval_nuscenes_ep12ema_4gpu/metrics.txt,已补齐EMA（2026-03-06）
Baseline-1 (无risk 有MLP),fog3,epoch_12_ema,0.146725,0.287478,0.506209,0.313471,0.000000,0.000000,0.000028,0.000009,0.000933,0.004154,0.004735,0.006369,0.005086,0.508600,已确认EMA,work_dirs/ssr_refiner_only_g123_12ep/eval_fog3_ep12ema_4gpu/metrics.txt,已补齐EMA（2026-03-06）
改进risk二版+MLP (无fuse),nuScenes,epoch_12_ema,0.174853,0.332452,0.579705,0.362337,0.000000,0.000000,0.000055,0.000018,0.001833,0.000498,0.000581,0.001329,0.000803,0.080267,已确认EMA,work_dirs/ssr_ours1_risk_mlp_nofuse_futureocc_g123_12ep/eval_nuscenes_ep12ema/metrics.txt,目录名ep12ema
改进risk二版+MLP (无fuse),fog3,epoch_12_ema,0.174202,0.337654,0.598515,0.370124,0.000000,0.000000,0.000055,0.000018,0.001833,0.000415,0.000540,0.001218,0.000724,0.072433,已确认EMA,work_dirs/ssr_ours1_risk_mlp_nofuse_futureocc_g123_12ep/eval_fog3_ep12ema_4gpu/results.pkl (compute_plan_metrics重算),已补齐EMA（2026-03-06）
改进risk二版+融合+MLP (riskw0.6),nuScenes,epoch_12_ema,0.159054,0.306603,0.532365,0.332674,0.000000,0.000000,0.000028,0.000009,0.000933,0.003489,0.003447,0.004984,0.003973,0.397333,已确认EMA,work_dirs/ssr_risk_fuse_mlp_aspp_futureocc_riskw06_g123_12ep/eval_nuscenes_ep12ema_3gpu/metrics.txt,"新增（2026-03-09；统一EMA/统一指标；GPU1,2,3）"
改进risk二版+融合+MLP (riskw0.6),fog3,epoch_12_ema,0.158775,0.308647,0.540322,0.335915,0.000000,0.000000,0.000028,0.000009,0.000933,0.003821,0.004112,0.005427,0.004453,0.445333,已确认EMA,work_dirs/ssr_risk_fuse_mlp_aspp_futureocc_riskw06_g123_12ep/eval_fog3_ep12ema_3gpu/metrics.txt,"新增（2026-03-09；统一EMA/统一指标；GPU1,2,3）"
改进risk二版+MLP (无fuse riskw0.6),nuScenes,epoch_12_ema,0.176319,0.336483,0.584420,0.365741,0.000000,0.000042,0.000055,0.000032,0.003233,0.000498,0.000914,0.001606,0.001006,0.100600,已确认EMA,work_dirs/ssr_ours1_risk_mlp_nofuse_futureocc_riskw06_g123_12ep/eval_nuscenes_ep12ema_4gpu/metrics.txt,"新增（2026-03-10；统一EMA/统一指标；GPU0,1,2,3）"
改进risk二版+MLP (无fuse riskw0.6),fog3,epoch_12_ema,0.177217,0.346406,0.608624,0.377416,0.000000,0.000042,0.000083,0.000042,0.004167,0.000249,0.000581,0.001329,0.000720,0.071967,已确认EMA,work_dirs/ssr_ours1_risk_mlp_nofuse_futureocc_riskw06_g123_12ep/eval_fog3_ep12ema_4gpu/metrics.txt,"新增（2026-03-10；统一EMA/统一指标；GPU0,1,2,3）"
阶段2安全warmup (riskw0.6 3ep),nuScenes,epoch_3_ema,0.151673,0.292751,0.512632,0.319019,0.000000,0.000000,0.000028,0.000009,0.000933,0.000415,0.000914,0.002188,0.001172,0.117233,已确认EMA,work_dirs/ssr_stage2_l2best_safety_warmup_3ep/eval_nuscenes_ep3ema_4gpu/metrics.txt,"新增（2026-03-11；统一EMA/统一指标；GPU0,1,2,3）"
